Protein,Attention_Weight
plg,1.1447272
ggt1,1.144176
map4k5,1.1438828
sh3glb2,1.1434152
stc2,1.1432989
itga6,1.1429715
rarres2,1.1428454
cfhr5,1.1426563
furin,1.1425459
aplp1,1.1422882
cst3,1.1422796
srp14,1.1418784
hbz,1.1414869
adgrf5,1.1406846
fuom,1.1406562
stab2,1.1404684
cbln4,1.1401825
nid2,1.1401324
stip1,1.1397789
itgav,1.1396339
kdr,1.1392536
sncg,1.1391335
slitrk1,1.1383548
csrp3,1.1381148
serpinf2,1.1378727
serpine1,1.137506
dll4,1.1372964
il18bp,1.137215
prrt3,1.1366079
cd27,1.1364101
slamf1,1.1344186
scarb1,1.1343285
inpp5d,1.1341356
msln,1.1339853
bag6,1.1336946
tfrc,1.1334945
serpinb1,1.1332448
myh7b,1.1326096
csf3,1.13251
ctse,1.1321704
yes1,1.1319177
lipf,1.131674
itga11,1.1315813
reg1b,1.1315444
clstn3,1.1314574
gsta3,1.1313913
tgfa,1.1307096
gsap,1.1306438
clu,1.1296973
wfikkn2,1.1296502
icam2,1.1296
tlr3,1.1293762
thop1,1.1291952
msr1,1.1288997
hbq1,1.1283212
chi3l1,1.1282983
mmp8,1.1282672
ghrhr,1.1281509
naaa,1.1280841
ncs1,1.1280029
prr4,1.1279011
qsox1,1.1277678
cntn5,1.1272786
ogfr,1.1272131
nrp2,1.1271834
tcl1b,1.1270566
tafa5,1.1267015
ly75,1.1263406
grn,1.1261929
cfb,1.1261895
coro1a,1.1261499
nell2,1.1258237
tnfrsf12a,1.1257659
matn2,1.1257368
smoc2,1.1257074
nefl,1.1256624
sell,1.1253328
cntn4,1.1252887
pik3ap1,1.125147
espl1,1.1249388
klrd1,1.1248262
tgfbr2,1.1246716
serpinc1,1.124649
fyb1,1.124392
smad1,1.1241618
epha1,1.1234736
traf2,1.1224382
bag3,1.1212857
nrp1,1.1209521
cep164,1.1202438
aoc1,1.1202316
il1b,1.1195352
ctsf,1.1190023
gp5,1.1186702
prcp,1.1186233
insr,1.1183727
cacna1c,1.1180152
ube2b,1.117729
serpini2,1.1172779
tnfrsf1b,1.1170855
cd101,1.1167116
fabp3,1.1166928
il32,1.1163373
cd46,1.1159443
prelp,1.1158149
wif1,1.1154407
tfpi,1.1150997
tnfsf12,1.1150749
dnmbp,1.114771
cd8a,1.114713
mb,1.1143698
fetub,1.1142738
tshb,1.1140256
mmp12,1.1139989
itgb5,1.1136929
p4hb,1.1127019
alcam,1.1126431
folh1,1.112616
st3gal1,1.112186
il17c,1.112098
dynlt1,1.1118268
vim,1.1116159
scin,1.1115416
colec12,1.111047
pxn,1.1108608
adam15,1.11077
bmp6,1.110764
eda2r,1.1101367
nptxr,1.1099541
naa80,1.1097808
acyp1,1.1095278
cd58,1.1095228
mpig6b,1.1091647
cst7,1.108794
parp1,1.1087617
fabp5,1.108665
txlna,1.1083401
gfap,1.1082753
lsm8,1.108154
amigo2,1.107806
pcdh1,1.1076629
adgrd1,1.1075811
tlr4,1.1071136
golga3,1.1069505
gfra3,1.1064507
cd160,1.1063257
lypd3,1.1056484
proc,1.1055976
prune2,1.1054804
tgfbr3,1.1054451
pla2g2a,1.1048642
glod4,1.1047351
ror1,1.1045717
wfikkn1,1.1043893
csf1r,1.1038101
itih4,1.1036596
iqgap2,1.1035786
ager,1.1034219
spp1,1.1033953
tek,1.1031768
glb1,1.1031263
actn2,1.1030972
kitlg,1.1028798
ism1,1.1026211
mycbp2,1.1023648
lbr,1.1017171
nell1,1.1012127
med18,1.101163
prtg,1.1010814
mia,1.1003127
cd99,1.0998254
afp,1.0997748
pcdh7,1.099436
psmg3,1.0990405
acy3,1.0990026
cmip,1.0988503
nfasc,1.0985081
ifngr2,1.0984885
ccl23,1.0983796
erbb2,1.0975444
nos3,1.0970279
fgr,1.0968809
erp29,1.0963386
mfge8,1.0959809
man2b2,1.095976
ppib,1.0959439
glrx,1.0951328
agbl2,1.0949047
vegfd,1.0942148
ntrk2,1.0941638
plau,1.09408
ak1,1.0939829
rabep1,1.0936371
mmp13,1.0934484
crim1,1.0934283
c4bpb,1.092862
tmem25,1.0927875
slamf8,1.0917704
mtss1,1.0917217
cdhr5,1.0917072
pltp,1.0915176
klk8,1.0914557
hrg,1.0914038
adamtsl4,1.0913887
gli2,1.0913066
c1r,1.0911877
cxcl6,1.0910344
