Protein,Attention_Weight
ednrb,0.7270245
camlg,0.7267982
rrp15,0.72677493
tsnax,0.72644746
stk4,0.7261976
prkcq,0.7261633
snap25,0.72596073
cpb2,0.72587675
tmed1,0.72570485
krt17,0.72556424
mrpl52,0.72515374
ddx4,0.7250675
nars1,0.7242794
nectin1,0.72401536
luzp2,0.7239859
dcun1d2,0.7235594
acox1,0.723335
bhmt2,0.7225894
f10,0.72242785
hsdl2,0.72229826
bloc1s2,0.7222811
fdx1,0.72048455
magea3,0.7203176
cinp,0.720038
edf1,0.7199298
scpep1,0.7198933
mslnl,0.7194184
gad2,0.7186395
pak4,0.7186372
ifnl1,0.71838284
prkag3,0.71755075
c8b,0.71752656
ggct,0.71562636
ttf2,0.7155852
klrc1,0.7155119
pten,0.7153355
enoph1,0.71518695
enah,0.71402
pacs2,0.71324193
ceacam19,0.7129675
ahsg,0.71260273
abraxas2,0.71252126
grik2,0.71237844
lair1,0.7122258
il15ra,0.71187735
lacrt,0.71186066
ppif,0.71132433
rbm17,0.7111526
aif1,0.71058875
elob,0.7103621
dhrs4l2,0.70984036
rbpms,0.7096542
rarres1,0.70948637
il34,0.7092421
scn3b,0.70882666
ngfr,0.7079329
pdrg1,0.7078793
dhodh,0.7076844
gbp2,0.70623136
id4,0.7056725
casq2,0.7055673
mllt1,0.70540667
il33,0.7048757
foxj3,0.70457196
ecscr,0.7045171
adra2a,0.7040162
cd3e,0.7039093
rgl2,0.70388645
lmod2,0.7032207
c1qtnf6,0.70198464
c1qbp,0.70183
pecr,0.7016604
rpgr,0.7014133
mrpl46,0.7014041
bola1,0.7006218
acsl1,0.7002162
gbp4,0.69964534
cope,0.69936144
fnta,0.6986679
tgfb2,0.6985241
art5,0.69811237
tfap2a,0.69803846
vstm2b,0.6978912
psma1,0.6967636
tagln3,0.6963115
cnpy2,0.69620883
dnajc21,0.696056
ism2,0.695943
hdac9,0.6954152
arl13b,0.6948804
efnb2,0.6947717
chm,0.69463164
tmco5a,0.6945531
letm1,0.69411826
reps1,0.6939994
eif5,0.6930493
clspn,0.6928462
tmed10,0.69265413
sh3gl3,0.6920291
psmd5,0.6917772
hdac8,0.691484
gad1,0.6913426
ppm1b,0.6912507
araf,0.6896101
dgcr6,0.6889694
thsd1,0.68818974
mapt,0.68803275
gpkow,0.6875777
ifit1,0.6868439
paip2b,0.68663716
rexo2,0.6864917
pde1c,0.6863418
ddx53,0.68613595
mapkapk2,0.6861
nudt15,0.68592834
prkd2,0.685889
dnm3,0.6850461
cpox,0.6850378
h2ap,0.6850088
atp1b1,0.6844024
ccdc134,0.6841638
rcor1,0.68386626
ing1,0.6837683
rnaseh2a,0.6836084
pnma1,0.6835614
eri1,0.6833192
psmc3,0.6827868
fzd10,0.68271405
bcat1,0.682541
cd164l2,0.68242407
relb,0.68024707
aldh2,0.67932695
cngb3,0.67913246
sugp1,0.6789149
pfdn4,0.6788863
cdc123,0.6788559
bnip2,0.67865777
acrbp,0.67808443
fgf9,0.67782956
trpv3,0.67779493
reg3g,0.6773032
csnk1d,0.676774
yy1,0.6766081
izumo1,0.6764859
ensa,0.67586917
bhlhe40,0.6752465
crybb1,0.6751808
ddx39a,0.6747154
casc3,0.6737783
cntf,0.67347515
fcer1a,0.6729666
shh,0.6728038
tada3,0.67215306
igf2bp3,0.6717393
get3,0.67023444
cend1,0.66898155
eif5a,0.66869915
sox2,0.66854656
crym,0.66841066
raly,0.66818833
ctla4,0.66812676
dgkz,0.6681252
mnat1,0.66774607
metap1,0.66737115
evi2b,0.66719747
eci2,0.66715395
khdc3l,0.6666446
fzd8,0.66631174
akr1b10,0.66488546
clec2l,0.6645824
rpa2,0.6644952
atp5po,0.6638044
fosb,0.6631507
xrcc4,0.66084605
naa10,0.66083086
mfap3l,0.6607119
fgf3,0.66061026
fdx2,0.6604352
pnma2,0.6603008
ppt1,0.66014826
fgf16,0.65972126
camkk1,0.6586552
chp1,0.6578756
eif2s2,0.65644455
nxpe4,0.6553873
bsnd,0.6546173
egflam,0.6544204
frmd7,0.6538675
atp1b2,0.6537764
itgb1bp1,0.6530645
hspa2,0.65200883
fgf2,0.65174687
tmed4,0.6511024
prr5,0.6494697
bcl7a,0.6492411
cplx2,0.6483213
stk24,0.6470063
defb118,0.64636207
tp73,0.64611113
ahsa1,0.64549685
aspscr1,0.644794
ptpn9,0.64431417
btn1a1,0.6438903
ggact,0.64317656
clgn,0.6431424
tk1,0.6424761
epb41l5,0.64211714
brdt,0.64169645
gas2,0.64164066
ralb,0.6406653
ung,0.6404738
rnf168,0.6399947
dclre1c,0.6394156
arid3a,0.6377854
creb3,0.6327099
atf4,0.63261867
casp9,0.6299507
cacnb1,0.6295239
dlgap5,0.6274978
impg1,0.6263159
spag1,0.6261925
cdc25a,0.6260151
spesp1,0.6247883
pttg1,0.62465906
fmr1,0.6236286
brme1,0.62351847
enox2,0.62325025
ngf,0.62271106
ccdc28a,0.6226195
jun,0.62254095
dcdc2c,0.62223816
ceacam20,0.62204826
armcx2,0.6219114
cbx2,0.62104
sag,0.61953485
tgfbr1,0.6186373
gja8,0.6171105
ankra2,0.61509836
rab10,0.6144023
brd3,0.61417377
tp53,0.6139192
bcl7b,0.61388254
cspg5,0.61116314
crybb2,0.59717846
efcab2,0.5963982
akr1c4,0.59205866
csf2rb,0.5897827
chek2,0.58820045
atp6v1d,0.58817446
cdk1,0.5876241
arnt,0.58731186
fos,0.5871901
atp1b3,0.5859767
yju2,0.5834167
atp5f1d,0.58132124
pdcl2,0.57550836
hadh,0.5716771
il25,0.57141876
c1galt1c1,0.5702907
clint1,0.56911325
cd2,0.56399155
caly,0.560637
ssh3,0.5566639
mrpl24,0.5559703
babam1,0.5537996
rfc4,0.55221045
ercc1,0.54866767
brsk2,0.54788417
nfic,0.530034
tef,0.47951514
